ticker,name,sector,industry,main_product,enabling_tech,underlying_science,mcap_2015,mcap_now,value_created
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",none,none,none,18,99,81
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,none,none,none,2,83,81
SYK,Stryker Corporation,Health Care,Health Care Equipment,surgical robots + orthopedics + neurotechnology,Mako robotic surgery system,robotics + materials science,32,113,81
T,AT&T,Communication Services,Integrated Telecommunication Services,5G wireless + fiber broadband,5G + fiber-to-the-home,signal processing + RF engineering,83,164,80
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,none,none,none,14,94,80
VZ,Verizon,Communication Services,Integrated Telecommunication Services,5G wireless + broadband,5G NR (New Radio) networks,signal processing + RF engineering,115,195,80
COHR,Coherent Corp.,Information Technology,Electronic Components,none,none,none,4,82,78
FCX,Freeport-McMoRan,Materials,Copper,none,none,none,25,102,77
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,cystic fibrosis + pain drugs,CFTR modulators + sodium channel blockers,molecular biology + ion channel biophysics,32,109,77
MO,Altria,Consumer Staples,Tobacco,none,none,none,42,117,76
BNY,BNY Mellon,Financials,Asset Management & Custody Banks,none,none,none,22,96,74
JCI,Johnson Controls,Industrials,Building Products,none,none,none,18,90,72
LITE,Lumentum,Information Technology,Communications Equipment,none,none,none,1,73,72
ADBE,Adobe Inc.,Information Technology,Application Software,creative software + generative AI,generative AI + image/video processing,computer vision + diffusion models,32,104,71
SO,Southern Company,Utilities,Electric Utilities,none,none,none,31,102,71
WM,Waste Management,Industrials,Environmental & Facilities Services,none,none,none,16,88,71
CME,CME Group,Financials,Financial Exchanges & Data,none,none,none,22,91,69
COF,Capital One,Financials,Consumer Finance,none,none,none,43,111,68
CSX,CSX Corporation,Industrials,Rail Transportation,none,none,none,18,86,68
BA,Boeing,Industrials,Aerospace & Defense,commercial aircraft + defense,composite airframes + turbofan engines,aerospace engineering + materials science,99,166,67
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,none,none,none,11,78,67
MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,none,none,none,21,87,66
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,none,none,none,11,78,66
KKR,KKR & Co.,Financials,Asset Management & Custody Banks,none,none,none,16,81,65
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,none,none,none,8,72,64
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,none,none,none,27,91,64
FIX,Comfort Systems USA,Industrials,Construction & Engineering,none,none,none,1,65,64
HCA,HCA Healthcare,Health Care,Health Care Facilities,none,none,none,17,81,64
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",none,none,none,13,75,63
MCK,McKesson Corporation,Health Care,Health Care Distributors,none,none,none,26,89,63
CTAS,Cintas,Industrials,Diversified Support Services,none,none,none,8,70,62
GILD,Gilead Sciences,Health Care,Biotechnology,"antiviral drugs (HIV, COVID)",nucleotide analog antivirals,virology + medicinal chemistry,98,160,62
SBUX,Starbucks,Consumer Discretionary,Restaurants,none,none,none,47,109,62
GD,General Dynamics,Industrials,Aerospace & Defense,nuclear submarines + tanks + Gulfstream jets,nuclear propulsion + advanced composites,nuclear engineering + materials science,30,91,61
MCO,Moody's Corporation,Financials,Financial Exchanges & Data,none,none,none,17,78,61
PNC,PNC Financial Services,Financials,Diversified Banks,none,none,none,27,88,61
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,none,none,none,14,75,61
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,semiconductor test equipment,automated test equipment,electrical engineering,3,64,61
URI,United Rentals,Industrials,Trading Companies & Distributors,none,none,none,5,66,61
ACN,Accenture,Information Technology,IT Consulting & Other Services,none,none,none,50,109,60
ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail,none,none,none,12,72,60
TDG,TransDigm Group,Industrials,Aerospace & Defense,aerospace components,precision aerospace manufacturing,materials science + aerospace engineering,8,68,60
INTU,Intuit,Information Technology,Application Software,financial software + AI,ML for tax + accounting,machine learning,27,85,59
MSI,Motorola Solutions,Information Technology,Communications Equipment,none,none,none,8,68,59
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",none,none,none,18,77,59
CRH,CRH plc,Materials,Construction Materials,none,none,none,14,71,57
DUK,Duke Energy,Utilities,Electric Utilities,none,none,none,38,94,57
NOC,Northrop Grumman,Industrials,Aerospace & Defense,B-21 bomber + space + cyber,low-observable (stealth) + space sensors,RF engineering + aerodynamics,19,75,56
NXPI,NXP Semiconductors,Information Technology,Semiconductors,none,none,none,25,81,56
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,none,none,none,23,78,55
ELV,Elevance Health,Health Care,Managed Health Care,none,none,none,31,85,54
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,industrial automation + HVAC controls,process control + smart sensors,control systems engineering,25,79,54
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,none,none,none,6,60,54
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,none,none,none,34,88,54
MRSH,Marsh McLennan,Financials,Insurance Brokers,none,none,none,23,76,53
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,none,none,none,21,74,53
RSG,Republic Services,Industrials,Environmental & Facilities Services,none,none,none,10,63,53
NSC,Norfolk Southern,Industrials,Rail Transportation,none,none,none,16,69,52
SHW,Sherwin-Williams,Materials,Specialty Chemicals,paints + coatings,polymer chemistry,polymer chemistry,21,73,52
AMT,American Tower,Real Estate,Telecom Tower REITs,cell towers + wireless infrastructure,RF antenna + tower engineering,RF engineering + electromagnetics,34,85,51
ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,industrial equipment + fasteners,manufacturing process technology,mechanical engineering,21,72,51
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,none,none,none,10,61,51
NUE,Nucor,Materials,Steel,none,none,none,8,59,50
DLR,Digital Realty,Real Estate,Data Center REITs,none,none,none,16,64,49
FDX,FedEx,Industrials,Air Freight & Logistics,none,none,none,29,77,49
AEP,American Electric Power,Utilities,Electric Utilities,none,none,none,21,69,48
AON,Aon plc,Financials,Insurance Brokers,none,none,none,19,67,48
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,ICE + EV vehicles (Ultium platform),Ultium battery platform + ADAS,electrochemistry + machine learning,25,74,48
ON,ON Semiconductor,Information Technology,Semiconductors,power + automotive semiconductors,SiC MOSFET + power electronics,semiconductor physics + wide-bandgap materials,5,52,47
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,none,none,none,17,64,47
AFL,Aflac,Financials,Life & Health Insurance,none,none,none,12,58,46
ODFL,Old Dominion,Industrials,Cargo Ground Transportation,none,none,none,5,49,45
PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,none,none,none,15,60,45
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,none,none,none,12,56,45
TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,none,none,none,17,62,45
FAST,Fastenal,Industrials,Trading Companies & Distributors,none,none,none,9,53,44
LHX,L3Harris,Industrials,Aerospace & Defense,none,none,none,12,57,44
BSX,Boston Scientific,Health Care,Health Care Equipment,cardiac + endoscopy devices,interventional cardiology devices,materials science + bioengineering,28,71,43
ECL,Ecolab,Materials,Specialty Chemicals,none,none,none,29,72,43
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,none,none,none,10,52,42
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,none,none,none,17,59,42
MCHP,Microchip Technology,Information Technology,Semiconductors,microcontrollers + FPGAs,embedded processor design,semiconductor physics,11,52,42
OKE,Oneok,Energy,Oil & Gas Storage & Transportation,none,none,none,13,55,42
AME,Ametek,Industrials,Electrical Components & Equipment,electronic instruments + electromechanical,precision sensors + power quality,electronics + metrology,11,52,41
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,none,none,none,34,75,41
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,none,none,none,8,49,41
MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,none,none,none,4,45,41
APD,Air Products,Materials,Industrial Gases,"industrial gases (H2, O2, N2)",cryogenic gas separation + green hydrogen,chemical engineering + thermodynamics,23,63,40
ALL,Allstate,Financials,Property & Casualty Insurance,none,none,none,14,54,40
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,none,none,none,6,46,40
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,industrial automation + IoT,PLC + industrial software + AI for manufacturing,control systems + machine learning,11,51,40
AZO,AutoZone,Consumer Discretionary,Automotive Retail,none,none,none,11,50,39
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,veterinary diagnostics,PCR + rapid immunoassay diagnostics,molecular biology + immunology,5,44,39
EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,none,none,none,10,48,38
ETR,Entergy,Utilities,Electric Utilities,none,none,none,11,50,38
JBL,Jabil,Information Technology,Electronic Manufacturing Services,none,none,none,2,40,38
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,none,none,none,41,79,38
ADSK,Autodesk,Information Technology,Application Software,none,none,none,11,48,37
CI,Cigna,Health Care,Health Care Services,none,none,none,35,72,37
EW,Edwards Lifesciences,Health Care,Health Care Equipment,transcatheter heart valves + hemodynamics,transcatheter valve delivery,bioengineering + fluid dynamics,13,50,37
STLD,Steel Dynamics,Materials,Steel,none,none,none,3,40,37
USB,U.S. Bancorp,Financials,Diversified Banks,none,none,none,45,82,37
AXON,Axon Enterprise,Industrials,Aerospace & Defense,none,none,none,2,39,36
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,none,none,none,15,51,36
UPS,United Parcel Service,Industrials,Air Freight & Logistics,none,none,none,56,92,36
COR,Cencora,Health Care,Health Care Distributors,none,none,none,16,51,35
EME,Emcor,Industrials,Construction & Engineering,none,none,none,2,37,35
IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,none,none,none,4,39,35
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,none,none,none,5,40,35
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,none,none,none,7,41,34
SRE,Sempra,Utilities,Multi-Utilities,none,none,none,25,59,34
XEL,Xcel Energy,Utilities,Multi-Utilities,none,none,none,15,48,33
FITB,Fifth Third Bancorp,Financials,Regional Banks,none,none,none,12,45,32
IRM,Iron Mountain,Real Estate,Other Specialized REITs,none,none,none,6,38,32
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,none,none,none,7,38,32
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,none,none,none,9,40,31
CAH,Cardinal Health,Health Care,Health Care Distributors,none,none,none,15,46,31
MET,MetLife,Financials,Life & Health Insurance,none,none,none,21,52,31
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",cloud data storage management,storage software + flash arrays,none,5,36,31
PSA,Public Storage,Real Estate,Self-Storage REITs,none,none,none,22,53,31
O,Realty Income,Real Estate,Retail REITs,none,none,none,25,56,31
SPG,Simon Property Group,Real Estate,Retail REITs,none,none,none,35,66,31
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,none,none,none,26,57,31
MMM,3M,Industrials,Industrial Conglomerates,none,none,none,49,79,30
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,oilfield services + industrial tech,subsurface sensing + LNG tech,geophysics + thermodynamics,34,64,30
EXC,Exelon,Utilities,Electric Utilities,none,none,none,17,46,29
FSLR,First Solar,Information Technology,Semiconductors,thin-film solar panels,cadmium telluride (CdTe) photovoltaics,semiconductor physics + thin-film deposition,5,34,29
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,ICE + EV vehicles,electric motor + battery integration,mechanical engineering + electrochemistry,34,63,29
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,none,none,none,13,42,29
PFE,Pfizer,Health Care,Pharmaceuticals,none,none,none,116,144,29
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,none,none,none,16,45,29
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,analytical instruments + diagnostics,LC-MS + genomics instruments,analytical chemistry + mass spectrometry,11,39,28
STT,State Street Corporation,Financials,Asset Management & Custody Banks,none,none,none,16,44,28
TFC,Truist Financial,Financials,Diversified Banks,none,none,none,32,59,28
CL,Colgate-Palmolive,Consumer Staples,Household Products,none,none,none,41,68,27
MLM,Martin Marietta Materials,Materials,Construction Materials,none,none,none,8,35,27
TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,none,none,none,1,28,27
CASY,Casey's,Consumer Staples,Food Retail,none,none,none,3,29,26
CBRE,CBRE Group,Real Estate,Real Estate Services,none,none,none,11,37,26
DAL,Delta Air Lines,Industrials,Passenger Airlines,none,none,none,25,52,26
HIG,Hartford (The),Financials,Property & Casualty Insurance,none,none,none,9,35,26
SMCI,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals",none,none,none,2,29,26
VMC,Vulcan Materials Company,Materials,Construction Materials,none,none,none,11,37,26
YUM,Yum! Brands,Consumer Discretionary,Restaurants,none,none,none,15,41,26
ARES,Ares Management,Financials,Asset Management & Custody Banks,none,none,none,3,28,25
FICO,Fair Isaac,Information Technology,Application Software,none,none,none,2,27,25
MDT,Medtronic,Health Care,Health Care Equipment,cardiac devices + neuromodulation,pacemakers + deep brain stimulation,bioelectronics + neuroscience,75,100,25
VEEV,Veeva Systems,Health Care,Health Care Technology,cloud software for life sciences,regulatory data management,none,4,29,25
WEC,WEC Energy Group,Utilities,Electric Utilities,none,none,none,11,36,25
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,none,none,none,7,31,24
CPRT,Copart,Industrials,Diversified Support Services,none,none,none,4,28,24
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,none,none,none,4,28,24
PEG,Public Service Enterprise Group,Utilities,Electric Utilities,none,none,none,15,39,24
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,none,none,none,5,29,24
WAT,Waters Corporation,Health Care,Life Sciences Tools & Services,"analytical instruments (HPLC, MS)",liquid chromatography + mass spectrometry,analytical chemistry,13,37,24
ED,Consolidated Edison,Utilities,Multi-Utilities,none,none,none,15,38,23
SATS,EchoStar,Communication Services,Wireless Telecommunication Services,none,none,none,12,35,23
HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,none,none,none,14,37,23
PAYX,Paychex,Industrials,Human Resource & Employment Services,none,none,none,13,35,23
SYY,Sysco,Consumer Staples,Food Distributors,none,none,none,13,36,23
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",none,none,none,5,28,23
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,none,none,none,18,41,22
CVS,CVS Health,Health Care,Health Care Services,none,none,none,95,117,22
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,none,none,none,7,29,22
RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,none,none,none,6,29,22
AEE,Ameren,Utilities,Multi-Utilities,none,none,none,8,29,21
ATO,Atmos Energy,Utilities,Gas Utilities,none,none,none,7,28,21
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,none,none,none,16,37,21
DXCM,Dexcom,Health Care,Health Care Equipment,none,none,none,7,28,21
HUBB,Hubbell Incorporated,Industrials,Industrial Machinery & Supplies & Components,none,none,none,5,26,21
NTRS,Northern Trust,Financials,Asset Management & Custody Banks,none,none,none,10,31,21
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,none,none,none,6,27,21
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,none,none,none,4,24,21
DTE,DTE Energy,Utilities,Multi-Utilities,none,none,none,10,30,20
EXR,Extra Space Storage,Real Estate,Self-Storage REITs,none,none,none,10,30,20
KR,Kroger,Consumer Staples,Food Retail,none,none,none,18,38,20
RMD,ResMed,Health Care,Health Care Equipment,none,none,none,8,27,20
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,none,none,none,4,24,20
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,none,none,none,6,24,19
D,Dominion Energy,Utilities,Multi-Utilities,natural gas + nuclear utilities,nuclear + gas generation,nuclear physics,39,58,19
IQV,IQVIA,Health Care,Life Sciences Tools & Services,clinical research + data services,real-world data analytics + AI for trials,statistics + machine learning,12,30,19
JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation,none,none,none,7,26,19
PHM,PulteGroup,Consumer Discretionary,Homebuilding,none,none,none,3,22,19
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,none,none,none,4,22,19
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,oncology + cardiovascular drugs,PD-1 checkpoint inhibitors + small molecules,immuno-oncology + medicinal chemistry,94,112,18
CNP,CenterPoint Energy,Utilities,Multi-Utilities,none,none,none,9,27,18
CFG,Citizens Financial Group,Financials,Regional Banks,none,none,none,8,26,18
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,none,none,none,5,23,18
HBAN,Huntington Bancshares,Financials,Regional Banks,none,none,none,14,32,18
MTB,M&T Bank,Financials,Regional Banks,none,none,none,13,31,18
RF,Regions Financial Corporation,Financials,Regional Banks,none,none,none,6,23,18
XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,none,none,none,8,26,18
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,none,none,none,53,70,17
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,precision instruments + lab balances,precision measurement + automation,metrology + analytical chemistry,7,24,17
PRU,Prudential Financial,Financials,Life & Health Insurance,none,none,none,18,35,17
