ticker,name,sector,industry,main_product,enabling_tech,underlying_science,mcap_start,mcap_end,value_created
PPG,PPG Industries,Materials,Specialty Chemicals,coatings + paints,polymer chemistry + nano-coatings,polymer chemistry + materials science,5,21,16
SO,Southern Company,Utilities,Electric Utilities,none,none,none,15,31,16
AON,Aon plc,Financials,Insurance Brokers,none,none,none,4,19,15
CNC,Centene Corporation,Health Care,Managed Health Care,none,none,none,4,19,15
CSX,CSX Corporation,Industrials,Rail Transportation,none,none,none,3,18,15
DE,Deere & Company,Industrials,Agricultural & Farm Machinery,none,none,none,6,21,15
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,electrical power management,power electronics + grid components,electrical engineering,7,22,15
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,industrial automation + HVAC controls,process control + smart sensors,control systems engineering,11,25,15
FDX,FedEx,Industrials,Air Freight & Logistics,none,none,none,14,29,15
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,ICE + EV vehicles,electric motor + battery integration,mechanical engineering + electrochemistry,19,34,15
KMB,Kimberly-Clark,Consumer Staples,Household Products,none,none,none,10,25,15
KR,Kroger,Consumer Staples,Food Retail,none,none,none,4,18,15
PNC,PNC Financial Services,Financials,Diversified Banks,none,none,none,12,27,15
COR,Cencora,Health Care,Health Care Distributors,none,none,none,2,16,14
CME,CME Group,Financials,Financial Exchanges & Data,none,none,none,8,22,14
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,none,none,none,4,17,14
MRSH,Marsh McLennan,Financials,Insurance Brokers,none,none,none,9,23,14
NOC,Northrop Grumman,Industrials,Aerospace & Defense,B-21 bomber + space + cyber,low-observable (stealth) + space sensors,RF engineering + aerodynamics,5,19,14
APH,Amphenol,Information Technology,Electronic Components,none,none,none,3,16,13
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,none,none,none,6,18,13
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,none,none,none,2,15,13
DLR,Digital Realty,Real Estate,Data Center REITs,none,none,none,2,16,13
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,none,none,none,7,20,13
ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,industrial equipment + fasteners,manufacturing process technology,mechanical engineering,8,21,13
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,none,none,none,3,17,13
AEP,American Electric Power,Utilities,Electric Utilities,none,none,none,9,21,12
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,oilfield services + industrial tech,subsurface sensing + LNG tech,geophysics + thermodynamics,22,34,12
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,none,none,none,2,14,12
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",none,none,none,7,18,12
NSC,Norfolk Southern,Industrials,Rail Transportation,none,none,none,5,16,12
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,none,none,none,2,14,12
SWKS,Skyworks Solutions,Information Technology,Semiconductors,RF analog semiconductors,RF front-end modules,RF engineering + semiconductor physics,1,13,12
TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,none,none,none,5,17,12
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,none,none,none,5,17,11
EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,none,none,none,5,16,11
MCO,Moody's Corporation,Financials,Financial Exchanges & Data,none,none,none,6,17,11
ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail,none,none,none,2,12,11
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,none,none,none,15,26,11
AZO,AutoZone,Consumer Discretionary,Automotive Retail,none,none,none,1,11,10
EW,Edwards Lifesciences,Health Care,Health Care Equipment,transcatheter heart valves + hemodynamics,transcatheter valve delivery,bioengineering + fluid dynamics,2,13,10
OKE,Oneok,Energy,Oil & Gas Storage & Transportation,none,none,none,3,13,10
SBAC,SBA Communications,Real Estate,Telecom Tower REITs,cell towers,wireless infrastructure,RF engineering,1,11,10
LUV,Southwest Airlines,Industrials,Passenger Airlines,none,none,none,6,16,10
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,none,none,none,2,11,9
AME,Ametek,Industrials,Electrical Components & Equipment,electronic instruments + electromechanical,precision sensors + power quality,electronics + metrology,2,11,9
BAX,Baxter International,Health Care,Health Care Equipment,renal + hospital products,hemodialysis technology,bioengineering + membrane science,7,16,9
BNY,BNY Mellon,Financials,Asset Management & Custody Banks,none,none,none,13,22,9
BXP,"BXP, Inc.",Real Estate,Office REITs,none,none,none,4,14,9
CAH,Cardinal Health,Health Care,Health Care Distributors,none,none,none,6,15,9
ES,Eversource Energy,Utilities,Electric Utilities,none,none,none,4,13,9
EXR,Extra Space Storage,Real Estate,Self-Storage REITs,none,none,none,1,10,9
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,none,none,none,6,16,9
FCX,Freeport-McMoRan,Materials,Copper,none,none,none,16,25,9
GPN,Global Payments,Financials,Transaction & Payment Processing Services,none,none,none,4,14,9
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,none,none,none,3,12,9
IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,none,none,none,7,16,9
LHX,L3Harris,Industrials,Aerospace & Defense,none,none,none,3,12,9
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,none,none,none,16,24,9
PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,none,none,none,5,15,9
PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,"motion + control systems (hydraulics, pneumatics)",fluid power + motion control,fluid mechanics + control systems,4,13,9
TFC,Truist Financial,Financials,Diversified Banks,none,none,none,23,32,9
COF,Capital One,Financials,Consumer Finance,none,none,none,34,43,8
CBRE,CBRE Group,Real Estate,Real Estate Services,none,none,none,4,11,8
ED,Consolidated Edison,Utilities,Multi-Utilities,none,none,none,7,15,8
EIX,Edison International,Utilities,Electric Utilities,none,none,none,7,15,8
ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,none,none,none,3,10,8
EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",none,none,none,4,12,8
DOC,Healthpeak Properties,Real Estate,Health Care REITs,none,none,none,6,14,8
IVZ,Invesco,Financials,Asset Management & Custody Banks,none,none,none,3,11,8
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,phosphate + potash fertilizers,mineral extraction + processing,geology + chemistry,3,11,8
NVDA,Nvidia,Information Technology,Semiconductors,AI/ML accelerators + GPUs,massively parallel GPU computing,deep learning + linear algebra,5,13,8
OMC,Omnicom Group,Communication Services,Advertising,none,none,none,7,15,8
PLD,Prologis,Real Estate,Industrial REITs,none,none,none,19,27,8
PEG,Public Service Enterprise Group,Utilities,Electric Utilities,none,none,none,7,15,8
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",none,none,none,10,18,8
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,none,none,none,4,12,8
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,none,none,none,3,12,8
CCL,Carnival Corporation,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",none,none,none,48,55,7
CHD,Church & Dwight,Consumer Staples,Household Products,none,none,none,2,9,7
CSGP,CoStar Group,Real Estate,Real Estate Services,none,none,none,2,8,7
EFX,Equifax,Industrials,Research & Consulting Services,none,none,none,3,11,7
HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,none,none,none,8,14,7
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,none,none,none,3,10,7
PAYX,Paychex,Industrials,Human Resource & Employment Services,none,none,none,5,13,7
PPL,PPL Corporation,Utilities,Electric Utilities,none,none,none,8,15,7
PRU,Prudential Financial,Financials,Life & Health Insurance,none,none,none,11,18,7
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,industrial automation + IoT,PLC + industrial software + AI for manufacturing,control systems + machine learning,4,11,7
STT,State Street Corporation,Financials,Asset Management & Custody Banks,none,none,none,9,16,7
TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,none,none,none,1,8,7
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,none,none,none,5,11,7
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,analytical instruments + diagnostics,LC-MS + genomics instruments,analytical chemistry + mass spectrometry,4,11,6
AFL,Aflac,Financials,Life & Health Insurance,none,none,none,7,12,6
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,none,none,none,4,10,6
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",none,none,none,2,8,6
CNP,CenterPoint Energy,Utilities,Multi-Utilities,none,none,none,4,9,6
CLX,Clorox,Consumer Staples,Household Products,none,none,none,4,9,6
COO,Cooper Companies (The),Health Care,Health Care Supplies,none,none,none,3,9,6
DXCM,Dexcom,Health Care,Health Care Equipment,none,none,none,1,7,6
DTE,DTE Energy,Utilities,Multi-Utilities,none,none,none,4,10,6
FFIV,"F5, Inc.",Information Technology,Communications Equipment,none,none,none,1,7,6
FAST,Fastenal,Industrials,Trading Companies & Distributors,none,none,none,3,9,6
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,none,none,none,2,8,6
GE,GE Aerospace,Industrials,Aerospace & Defense,none,none,none,111,118,6
GPC,Genuine Parts Company,Consumer Discretionary,Distributors,none,none,none,3,9,6
HAS,Hasbro,Consumer Discretionary,Leisure Products,none,none,none,2,7,6
JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation,none,none,none,2,7,6
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,semiconductor etch equipment,plasma etching,plasma physics + materials science,3,9,6
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,none,none,none,3,9,6
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,precision instruments + lab balances,precision measurement + automation,metrology + analytical chemistry,1,7,6
MET,MetLife,Financials,Life & Health Insurance,none,none,none,14,21,6
MCHP,Microchip Technology,Information Technology,Semiconductors,microcontrollers + FPGAs,embedded processor design,semiconductor physics,4,11,6
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,none,none,none,3,8,6
RSG,Republic Services,Industrials,Environmental & Facilities Services,none,none,none,5,10,6
RMD,ResMed,Health Care,Health Care Equipment,none,none,none,2,8,6
SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,none,none,none,3,9,6
SNPS,Synopsys,Information Technology,Application Software,EDA software,chip design automation + formal verification,algorithms + Boolean logic,4,10,6
TT,Trane Technologies,Industrials,Building Products,HVAC systems,vapor-compression + heat pump systems,thermodynamics,4,10,6
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,none,none,none,6,11,5
ALL,Allstate,Financials,Property & Casualty Insurance,none,none,none,9,14,5
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,none,none,none,2,7,5
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,semiconductor fab equipment,CVD/PVD thin-film deposition + etch,materials science + plasma physics,10,14,5
ATO,Atmos Energy,Utilities,Gas Utilities,none,none,none,2,7,5
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,none,none,none,8,13,5
CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,none,none,none,5,10,5
CTAS,Cintas,Industrials,Diversified Support Services,none,none,none,3,8,5
CMS,CMS Energy,Utilities,Multi-Utilities,none,none,none,2,8,5
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,none,none,none,5,10,5
CRH,CRH plc,Materials,Construction Materials,none,none,none,9,14,5
IT,Gartner,Information Technology,IT Consulting & Other Services,none,none,none,1,6,5
HSIC,Henry Schein,Health Care,Health Care Distributors,none,none,none,2,6,5
LH,Labcorp,Health Care,Health Care Services,none,none,none,3,8,5
MTB,M&T Bank,Financials,Regional Banks,none,none,none,8,13,5
MLM,Martin Marietta Materials,Materials,Construction Materials,none,none,none,3,8,5
NTRS,Northern Trust,Financials,Asset Management & Custody Banks,none,none,none,5,10,5
NUE,Nucor,Materials,Steel,none,none,none,3,8,5
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",none,none,none,2,6,5
RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,none,none,none,2,6,5
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",hard disk drives,perpendicular magnetic recording,physics of magnetic media,2,8,5
SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,none,none,none,1,6,5
TYL,Tyler Technologies,Information Technology,Application Software,none,none,none,0,5,5
AOS,A. O. Smith,Industrials,Building Products,none,none,none,1,4,4
ALGN,Align Technology,Health Care,Health Care Supplies,clear dental aligners,3D imaging + custom polymer fabrication,materials science + computer vision,1,4,4
ALB,Albemarle Corporation,Materials,Specialty Chemicals,lithium compounds for batteries,lithium carbonate + lithium hydroxide refining,electrochemistry + materials science,2,6,4
LNT,Alliant Energy,Utilities,Electric Utilities,none,none,none,2,6,4
GLW,Corning Inc.,Information Technology,Electronic Components,none,none,none,9,14,4
DVA,DaVita,Health Care,Health Care Services,none,none,none,1,5,4
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,none,none,none,2,7,4
EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,none,none,none,6,10,4
DD,DuPont,Materials,Specialty Chemicals,specialty materials + chemicals,polymer science + materials engineering,polymer chemistry + materials science,6,10,4
ETR,Entergy,Utilities,Electric Utilities,none,none,none,7,11,4
FDS,FactSet,Financials,Financial Exchanges & Data,none,none,none,1,5,4
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,none,none,none,2,6,4
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",none,none,none,6,10,4
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,veterinary diagnostics,PCR + rapid immunoassay diagnostics,molecular biology + immunology,1,5,4
IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,none,none,none,1,5,4
IRM,Iron Mountain,Real Estate,Other Specialized REITs,none,none,none,2,6,4
MAA,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs,none,none,none,2,6,4
NI,NiSource,Utilities,Multi-Utilities,none,none,none,2,6,4
ODFL,Old Dominion,Industrials,Cargo Ground Transportation,none,none,none,1,5,4
PGR,Progressive Corporation,Financials,Property & Casualty Insurance,none,none,none,7,12,4
RVTY,Revvity,Health Care,Health Care Equipment,none,none,none,2,6,4
ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,none,none,none,1,5,4
STE,Steris,Health Care,Health Care Equipment,sterilization + infection prevention,ethylene oxide + H2O2 sterilization,microbiology + chemistry,2,6,4
UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,none,none,none,3,7,4
ADSK,Autodesk,Information Technology,Application Software,none,none,none,8,11,3
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,none,none,none,2,6,3
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,none,none,none,2,5,3
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,none,none,none,3,6,3
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,none,none,none,2,5,3
DPZ,Domino's,Consumer Discretionary,Restaurants,none,none,none,0,3,3
EG,Everest Group,Financials,Reinsurance,none,none,none,2,6,3
EVRG,Evergy,Utilities,Electric Utilities,none,none,none,2,6,3
EXPD,Expeditors International,Industrials,Air Freight & Logistics,none,none,none,3,5,3
FE,FirstEnergy,Utilities,Electric Utilities,none,none,none,10,13,3
GL,Globe Life,Financials,Life & Health Insurance,none,none,none,1,4,3
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,none,none,none,6,9,3
HUBB,Hubbell Incorporated,Industrials,Industrial Machinery & Supplies & Components,none,none,none,1,5,3
JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,none,none,none,1,4,3
KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,semiconductor process control,optical + e-beam metrology,optics + signal processing,3,6,3
LII,Lennox International,Industrials,Building Products,none,none,none,1,3,3
L,Loews Corporation,Financials,Multi-line Insurance,none,none,none,5,8,3
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,none,none,none,42,45,3
NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,none,none,none,1,4,3
ON,ON Semiconductor,Information Technology,Semiconductors,power + automotive semiconductors,SiC MOSFET + power electronics,semiconductor physics + wide-bandgap materials,2,5,3
PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,none,none,none,1,4,3
